Date,High,Low,Open,Close,Currency
2016-06-09,1272.06,1257.56,1262.55,1269.15,USD
2016-06-10,1278.1,1264.47,1269.41,1274.2,USD
2016-06-13,1287.4,1272.7,1274.05,1284.05,USD
2016-06-14,1290.18,1276.38,1283.39,1285.85,USD
2016-06-15,1297.09,1278.43,1285.14,1291.49,USD
2016-06-16,1316.11,1278.77,1293.51,1279.14,USD
2016-06-17,1299.88,1277.19,1279.35,1298.6,USD
2016-06-20,1292.36,1277.74,1285.8,1290.15,USD
2016-06-21,1294.38,1264.48,1288.68,1268.44,USD
2016-06-22,1271.0,1261.41,1268.45,1266.31,USD
2016-06-23,1271.65,1255.46,1264.31,1255.65,USD
2016-06-24,1358.7,1251.66,1253.86,1315.98,USD
2016-06-27,1335.7,1317.85,1326.26,1324.8,USD
2016-06-28,1326.39,1305.62,1324.45,1312.51,USD
2016-06-29,1328.23,1311.29,1312.39,1318.89,USD
2016-06-30,1324.11,1312.95,1317.71,1322.18,USD
2016-07-01,1344.6,1320.88,1323.38,1342.3,USD
2016-07-04,1357.97,1338.34,1342.58,1350.78,USD
2016-07-05,1357.71,1338.43,1351.15,1356.14,USD
2016-07-06,1375.3,1356.23,1356.74,1363.89,USD
2016-07-07,1370.26,1350.8,1363.56,1360.6,USD
2016-07-08,1369.09,1336.08,1359.21,1366.8,USD
2016-07-11,1375.11,1351.2,1368.71,1355.25,USD
2016-07-12,1358.2,1330.15,1355.16,1331.65,USD
2016-07-13,1345.6,1327.7,1332.4,1342.85,USD
2016-07-14,1347.1,1320.22,1344.01,1335.1,USD
2016-07-15,1338.9,1322.55,1336.31,1337.85,USD
2016-07-18,1335.7,1323.84,1332.81,1328.79,USD
2016-07-19,1335.29,1325.61,1328.51,1332.13,USD
2016-07-20,1336.34,1312.49,1331.81,1315.95,USD
2016-07-21,1334.38,1310.95,1316.31,1331.09,USD
2016-07-22,1334.22,1319.58,1330.94,1322.38,USD
2016-07-25,1324.12,1312.43,1322.59,1315.56,USD
2016-07-26,1325.08,1313.83,1315.59,1320.32,USD
2016-07-27,1342.62,1315.74,1320.04,1339.86,USD
2016-07-28,1345.53,1332.23,1339.38,1335.79,USD
2016-07-29,1355.42,1330.0,1335.75,1350.91,USD
2016-08-01,1355.22,1346.24,1349.88,1353.21,USD
2016-08-02,1367.81,1347.06,1353.47,1363.68,USD
2016-08-03,1366.85,1354.16,1363.65,1357.9,USD
2016-08-04,1365.45,1348.9,1358.41,1361.2,USD
2016-08-05,1365.51,1334.87,1360.72,1335.8,USD
2016-08-08,1338.53,1329.84,1335.18,1335.38,USD
2016-08-09,1343.24,1330.47,1334.85,1340.75,USD
2016-08-10,1357.57,1340.3,1340.95,1346.67,USD
2016-08-11,1353.78,1335.93,1347.26,1338.87,USD
2016-08-12,1356.28,1333.98,1338.7,1336.19,USD
2016-08-15,1344.21,1335.95,1338.08,1339.36,USD
2016-08-16,1358.38,1339.47,1339.69,1346.08,USD
2016-08-17,1352.07,1337.7,1345.7,1348.66,USD
2016-08-18,1356.6,1345.84,1349.05,1352.34,USD
2016-08-19,1353.44,1337.93,1352.91,1341.78,USD
2016-08-22,1341.65,1332.1,1340.83,1339.02,USD
2016-08-23,1345.45,1335.65,1339.34,1338.1,USD
2016-08-24,1340.52,1323.7,1337.88,1323.75,USD
2016-08-25,1327.5,1317.96,1323.75,1321.7,USD
2016-08-26,1341.54,1318.89,1321.89,1321.33,USD
2016-08-29,1325.43,1315.1,1320.47,1323.41,USD
2016-08-30,1325.7,1309.15,1323.2,1311.15,USD
2016-08-31,1316.54,1305.41,1311.25,1308.95,USD
2016-09-01,1315.38,1302.23,1309.12,1313.79,USD
2016-09-02,1329.09,1309.51,1314.13,1325.01,USD
2016-09-05,1329.32,1322.31,1324.42,1327.08,USD
2016-09-06,1352.16,1324.77,1325.37,1349.88,USD
2016-09-07,1353.01,1342.74,1348.67,1345.24,USD
2016-09-08,1349.78,1335.54,1345.11,1338.35,USD
2016-09-09,1340.03,1327.7,1338.41,1328.15,USD
2016-09-12,1330.68,1320.79,1328.29,1327.63,USD
2016-09-13,1332.64,1315.72,1327.99,1319.05,USD
2016-09-14,1326.26,1316.13,1318.88,1322.97,USD
2016-09-15,1327.53,1309.7,1322.72,1314.25,USD
2016-09-16,1318.43,1306.62,1313.91,1310.43,USD
2016-09-19,1318.32,1309.27,1310.77,1313.39,USD
2016-09-20,1318.5,1312.31,1312.8,1315.1,USD
2016-09-21,1337.22,1308.6,1315.1,1336.85,USD
2016-09-22,1344.27,1331.56,1335.12,1337.3,USD
2016-09-23,1341.06,1333.59,1337.69,1337.61,USD
2016-09-26,1342.46,1332.56,1337.07,1337.97,USD
2016-09-27,1339.78,1324.81,1337.77,1327.36,USD
2016-09-28,1327.74,1317.89,1326.9,1321.41,USD
2016-09-29,1326.02,1315.89,1322.08,1320.27,USD
2016-09-30,1328.23,1312.83,1320.56,1315.96,USD
2016-10-03,1320.11,1309.58,1318.24,1311.96,USD
2016-10-04,1313.52,1266.81,1312.18,1268.3,USD
2016-10-05,1277.51,1262.12,1269.41,1266.7,USD
2016-10-06,1269.94,1250.2,1267.73,1254.74,USD
2016-10-07,1265.74,1241.68,1255.34,1256.97,USD
2016-10-10,1265.35,1256.59,1257.47,1259.74,USD
2016-10-11,1262.66,1252.6,1259.06,1253.25,USD
2016-10-12,1259.26,1250.31,1253.45,1255.33,USD
2016-10-13,1262.41,1253.53,1256.14,1258.12,USD
2016-10-14,1259.65,1247.51,1258.79,1250.55,USD
2016-10-17,1257.67,1250.25,1250.25,1255.7,USD
2016-10-18,1265.38,1254.9,1256.6,1262.84,USD
2016-10-19,1273.84,1260.24,1262.63,1269.4,USD
2016-10-20,1274.02,1264.55,1269.55,1266.0,USD
2016-10-21,1268.43,1261.2,1266.1,1266.75,USD
2016-10-24,1272.25,1260.75,1266.21,1264.44,USD
2016-10-25,1277.17,1262.4,1265.67,1274.35,USD
2016-10-26,1276.89,1264.58,1273.3,1266.99,USD
2016-10-27,1273.17,1265.4,1267.15,1268.3,USD
2016-10-28,1284.53,1262.42,1268.39,1276.3,USD
2016-10-31,1279.64,1270.89,1278.01,1277.38,USD
2016-11-01,1292.21,1275.55,1277.17,1288.15,USD
2016-11-02,1308.26,1287.5,1287.9,1297.39,USD
2016-11-03,1306.9,1285.51,1297.16,1303.75,USD
2016-11-04,1307.11,1294.65,1302.61,1304.25,USD
2016-11-07,1295.9,1277.8,1291.61,1281.41,USD
2016-11-08,1290.84,1273.04,1281.66,1275.64,USD
2016-11-09,1337.6,1269.38,1275.45,1278.0,USD
2016-11-10,1292.22,1252.28,1277.68,1259.76,USD
2016-11-11,1265.5,1219.5,1259.82,1225.68,USD
2016-11-14,1231.56,1211.47,1227.91,1220.26,USD
2016-11-15,1231.54,1219.06,1220.24,1228.08,USD
2016-11-16,1233.47,1221.6,1228.38,1225.3,USD
2016-11-17,1231.8,1211.12,1225.68,1216.39,USD
2016-11-18,1218.13,1203.9,1216.39,1208.69,USD
2016-11-21,1218.02,1205.74,1208.1,1214.05,USD
2016-11-22,1221.45,1206.24,1214.29,1212.24,USD
2016-11-23,1215.05,1181.57,1212.24,1187.77,USD
2016-11-24,1191.34,1181.79,1188.11,1184.0,USD
2016-11-25,1193.96,1171.96,1184.96,1183.63,USD
2016-11-28,1197.6,1182.96,1183.1,1193.44,USD
2016-11-29,1195.06,1180.97,1193.3,1188.46,USD
2016-11-30,1195.36,1170.75,1188.72,1173.11,USD
2016-12-01,1177.07,1160.77,1173.29,1171.3,USD
2016-12-02,1178.03,1166.2,1171.05,1176.92,USD
2016-12-05,1187.79,1157.08,1182.8,1170.26,USD
2016-12-06,1175.4,1166.53,1170.18,1169.74,USD
2016-12-07,1180.3,1165.35,1169.64,1174.0,USD
2016-12-08,1178.62,1168.88,1173.65,1170.55,USD
2016-12-09,1172.22,1156.17,1170.48,1157.87,USD
2016-12-12,1165.85,1151.43,1159.01,1162.21,USD
2016-12-13,1165.16,1154.71,1162.45,1158.35,USD
2016-12-14,1165.1,1139.47,1158.39,1144.25,USD
2016-12-15,1144.5,1122.44,1143.81,1128.43,USD
2016-12-16,1141.28,1126.46,1128.44,1134.09,USD
2016-12-19,1142.7,1134.14,1134.35,1139.05,USD
2016-12-20,1140.08,1125.63,1139.34,1132.2,USD
2016-12-21,1137.5,1129.29,1132.14,1131.8,USD
2016-12-22,1134.17,1127.43,1131.8,1128.69,USD
2016-12-23,1136.12,1128.18,1128.89,1133.49,USD
2016-12-26,1133.94,1133.94,1133.94,1133.94,USD
2016-12-27,1149.48,1131.85,1134.06,1139.35,USD
2016-12-28,1144.84,1136.54,1139.64,1142.45,USD
2016-12-29,1159.58,1140.81,1142.39,1158.32,USD
2016-12-30,1163.53,1149.49,1158.68,1151.85,USD
2017-01-02,1152.66,1149.66,1150.55,1150.52,USD
2017-01-03,1163.61,1145.77,1150.8,1158.91,USD
2017-01-04,1168.23,1156.35,1159.28,1163.8,USD
2017-01-05,1184.99,1162.38,1163.67,1180.48,USD
2017-01-06,1181.49,1170.37,1180.38,1172.81,USD
2017-01-09,1185.91,1171.89,1172.64,1181.27,USD
2017-01-10,1190.57,1179.86,1181.32,1187.74,USD
2017-01-11,1198.79,1177.33,1187.74,1191.85,USD
2017-01-12,1207.07,1191.0,1191.75,1195.66,USD
2017-01-13,1201.2,1187.93,1195.96,1197.66,USD
2017-01-16,1208.23,1198.17,1200.55,1203.17,USD
2017-01-17,1218.72,1202.38,1202.8,1216.54,USD
2017-01-18,1217.6,1201.91,1216.56,1203.64,USD
2017-01-19,1206.88,1195.86,1203.92,1205.14,USD
2017-01-20,1215.3,1198.68,1205.16,1209.96,USD
2017-01-23,1219.54,1209.27,1209.43,1217.48,USD
2017-01-24,1219.66,1206.02,1217.4,1208.81,USD
2017-01-25,1209.84,1192.83,1208.79,1200.31,USD
2017-01-26,1202.67,1184.11,1199.93,1188.57,USD
2017-01-27,1192.06,1181.04,1188.78,1191.6,USD
2017-01-30,1199.88,1188.15,1192.85,1195.35,USD
2017-01-31,1215.49,1193.83,1195.38,1210.63,USD
2017-02-01,1213.59,1198.12,1210.89,1209.49,USD
2017-02-02,1225.41,1208.26,1209.53,1215.93,USD
2017-02-03,1221.48,1207.18,1215.89,1219.88,USD
2017-02-06,1235.84,1219.01,1219.67,1235.59,USD
2017-02-07,1235.86,1227.41,1235.23,1233.72,USD
2017-02-08,1245.06,1230.29,1234.04,1241.99,USD
2017-02-09,1244.52,1230.22,1242.48,1230.89,USD
2017-02-10,1237.07,1221.12,1230.62,1234.12,USD
2017-02-13,1232.65,1219.37,1231.84,1225.44,USD
2017-02-14,1234.87,1221.75,1225.74,1228.61,USD
2017-02-15,1233.61,1216.8,1228.89,1232.94,USD
2017-02-16,1242.71,1232.04,1233.34,1239.14,USD
2017-02-17,1243.84,1234.52,1239.25,1235.29,USD
2017-02-20,1239.29,1232.62,1235.2,1238.38,USD
2017-02-21,1238.92,1225.8,1237.03,1235.97,USD
2017-02-22,1240.72,1231.62,1236.22,1237.69,USD
2017-02-23,1251.21,1235.2,1237.79,1249.41,USD
2017-02-24,1260.48,1247.54,1249.52,1256.94,USD
2017-02-27,1263.88,1250.48,1257.41,1252.76,USD
2017-02-28,1258.37,1247.48,1252.48,1248.59,USD
2017-03-01,1250.68,1236.53,1248.57,1248.94,USD
2017-03-02,1250.36,1231.16,1249.44,1235.3,USD
2017-03-03,1236.28,1222.59,1234.8,1234.3,USD
2017-03-06,1237.17,1224.65,1232.81,1225.96,USD
2017-03-07,1227.25,1213.67,1225.62,1215.67,USD
2017-03-08,1218.68,1206.13,1215.65,1207.58,USD
2017-03-09,1209.17,1199.12,1207.63,1200.83,USD
2017-03-10,1206.43,1194.62,1200.8,1204.55,USD
2017-03-13,1211.66,1202.47,1205.43,1204.05,USD
2017-03-14,1208.38,1197.54,1204.25,1199.08,USD
2017-03-15,1222.66,1197.93,1199.11,1219.4,USD
2017-03-16,1233.51,1217.83,1219.03,1226.78,USD
2017-03-17,1232.45,1225.06,1227.31,1229.15,USD
2017-03-20,1236.25,1229.51,1229.79,1233.9,USD
2017-03-21,1248.1,1226.82,1233.78,1245.0,USD
2017-03-22,1251.76,1243.89,1244.15,1249.35,USD
2017-03-23,1253.62,1242.84,1248.86,1245.3,USD
2017-03-24,1252.28,1240.72,1244.88,1244.17,USD
2017-03-27,1261.53,1247.69,1248.01,1254.3,USD
2017-03-28,1258.46,1247.52,1253.82,1251.63,USD
2017-03-29,1255.16,1247.25,1251.64,1252.45,USD
2017-03-30,1254.2,1242.61,1253.1,1243.3,USD
2017-03-31,1251.11,1240.05,1242.83,1249.13,USD
2017-04-03,1254.2,1244.55,1248.4,1253.35,USD
2017-04-04,1261.9,1254.46,1255.46,1256.22,USD
2017-04-05,1257.78,1243.85,1255.73,1255.3,USD
2017-04-06,1259.46,1249.85,1256.4,1251.8,USD
2017-04-07,1270.96,1250.8,1252.11,1254.05,USD
2017-04-10,1257.7,1247.5,1254.26,1254.73,USD
2017-04-11,1275.55,1253.29,1255.23,1274.44,USD
2017-04-12,1287.29,1272.42,1274.51,1286.6,USD
2017-04-13,1289.03,1281.74,1285.54,1287.74,USD
2017-04-14,1288.75,1285.31,1287.35,1285.69,USD
2017-04-17,1295.92,1281.61,1292.96,1284.8,USD
2017-04-18,1292.7,1279.4,1284.94,1289.64,USD
2017-04-19,1291.51,1276.48,1290.21,1279.66,USD
2017-04-20,1283.79,1276.74,1280.06,1281.85,USD
2017-04-21,1288.67,1278.43,1281.96,1284.5,USD
2017-04-24,1277.48,1266.01,1269.88,1275.3,USD
2017-04-25,1278.57,1261.81,1276.96,1263.76,USD
2017-04-26,1271.1,1260.3,1264.41,1269.05,USD
2017-04-27,1270.53,1261.61,1268.8,1264.6,USD
2017-04-28,1269.08,1263.3,1264.26,1268.15,USD
2017-05-01,1271.6,1254.16,1268.6,1256.8,USD
2017-05-02,1257.89,1251.48,1256.51,1256.9,USD
2017-05-03,1257.29,1236.41,1256.71,1238.38,USD
2017-05-04,1241.77,1225.7,1238.66,1227.75,USD
2017-05-05,1235.79,1225.83,1227.93,1227.74,USD
2017-05-08,1237.1,1225.36,1225.67,1226.3,USD
2017-05-09,1229.01,1214.21,1226.12,1221.3,USD
2017-05-10,1226.15,1217.49,1221.42,1219.15,USD
2017-05-11,1228.2,1217.81,1218.74,1224.85,USD
2017-05-12,1232.26,1224.55,1225.41,1228.83,USD
2017-05-15,1237.76,1227.2,1228.4,1230.71,USD
2017-05-16,1239.5,1230.51,1231.46,1236.8,USD
2017-05-17,1261.55,1236.3,1237.31,1260.74,USD
2017-05-18,1265.54,1245.9,1261.56,1247.05,USD
2017-05-19,1256.98,1246.61,1246.67,1255.55,USD
2017-05-22,1263.0,1251.61,1256.1,1260.46,USD
2017-05-23,1264.18,1250.46,1260.13,1251.16,USD
2017-05-24,1259.37,1247.7,1251.26,1258.55,USD
2017-05-25,1260.08,1253.89,1258.49,1255.76,USD
2017-05-26,1269.88,1252.88,1255.6,1267.05,USD
2017-05-29,1269.12,1265.12,1267.47,1266.97,USD
2017-05-30,1270.86,1259.39,1267.24,1263.1,USD
2017-05-31,1274.24,1259.26,1263.05,1268.59,USD
2017-06-01,1270.72,1261.49,1268.89,1265.64,USD
2017-06-02,1279.98,1259.0,1266.11,1279.98,USD
2017-06-05,1283.77,1278.0,1279.34,1279.95,USD
2017-06-06,1296.47,1279.44,1280.26,1294.0,USD
2017-06-07,1295.28,1283.0,1294.39,1286.91,USD
